"","HW1","HW2","HW3","HW4","HW5","HW6","HW7","HW8","HW9","ATT","QZ1","QZ2","QZ3","QZ4","EX1","EX2","Test1","Test2","Homework","Quiz","Lab","Overall","Grade"
"65",91.5,97,87.5,80,90,82,90,90,98,12,58.3333333333333,72.2222222222222,55,75,51.2,39.15,64,43.5,90.75,68.5185185185185,100,71.1777777777778,"C"
"66",80,95,90,80,97.5,94,73,90,85,12,58.3333333333333,66.6666666666667,57.5,100,64.8,64.35,81,71.5,88.9375,75,100,82.00625,"B"
"67",92.5,95,100,100,95,98,70,100,100,12,91.6666666666667,61.1111111111111,60,90,66.4,73.35,83,81.5,97.5625,80.9259259259259,100,88.3826388888889,"A-"
"68",92.5,100,100,90,100,93,89,80,60,12,83.3333333333333,77.7777777777778,55,80,65.6,63.9,82,71,93.0625,80.3703703703704,100,84.1243055555556,"B"
"69",80,77.5,70,65,100,97,100,75,85,12,58.3333333333333,55.5555555555556,25,40,56.8,34.2,71,38,85.5625,51.2962962962963,100,67.0631944444444,"C-"
"70",80,0,92.5,90,90,79,0,70,51.5,12,91.6666666666667,88.8888888888889,0,100,75.2,68.85,94,76.5,69.125,93.5185185185185,100,82.6902777777778,"B"
"71",0,10,47.5,0,90,0,56,40,75,7,54.1666666666667,27.7777777777778,30,80,43.2,31.5,54,35,39.8125,54.7222222222222,20,41.7020833333333,"F"
"72",85,85,92.5,60,95,98,100,80,100,12,91.6666666666667,50,75,95,47.2,57.6,59,64,91.9375,87.2222222222222,100,78.4645833333333,"C+"
"73",70,89,70,80,85,96,0,90,0,11,75,44.4444444444444,65,0,64,54.9,80,61,72.5,61.4814814814815,100,72.2222222222222,"C"
"74",85,97.5,100,85,75,97,97,95,85,12,25,44.4444444444444,35,65,48.8,36.45,61,40.5,92.6875,48.1481481481482,100,67.3534722222222,"C-"
"75",94.5,100,85,100,100,98,90,100,96,12,75,61.1111111111111,80,80,78.4,72,98,80,97.3125,78.3333333333333,100,90.54375,"A"
"76",62.5,65,32.5,27.5,0,79,79,75,94,12,91.6666666666667,33.3333333333333,25,55,44,54.9,55,61,64.3125,60,100,64.54375,"C-"
"77",85,70,85,95,100,88,88,100,85,12,75,100,90,100,47.2,65.7,59,73,90.75,96.6666666666667,100,81.775,"B-"
"78",92.5,100,100,100,100,100,100,95,100,12,91.6666666666667,88.8888888888889,80,80,59.2,71.1,74,79,99.375,86.8518518518518,100,87.3902777777778,"B+"
"79",92.5,100,100,100,95,90,100,95,85,12,100,88.8888888888889,80,80,76,74.25,95,82.5,96.5625,89.6296296296296,100,92.0381944444444,"A"
"80",80,75,90,90,100,93,98,90,85,12,91.6666666666667,88.8888888888889,75,100,69.6,76.5,87,85,90.75,93.5185185185185,100,89.9027777777778,"A-"
"81",92.5,82.5,87.5,90,100,82,82,0,85,9,50,44.4444444444444,0,25,45.6,52.2,57,58,87.6875,39.8148148148148,60,64.1784722222222,"C-"
"82",76,80,100,95,90,93,89,87.5,80,12,100,66.6666666666667,70,85,55.2,66.6,69,74,89.3125,85,100,81.84375,"B-"
"83",82.5,85,92.5,95,90,100,100,100,80,12,66.6666666666667,55.5555555555556,85,0,62.4,47.25,78,52.5,93.125,69.0740740740741,100,77.0236111111111,"C"
"84",77.5,62.5,97.5,80,0,83,100,75,70,11,66.6666666666667,44.4444444444444,70,80,67.2,69.3,84,77,80.6875,72.2222222222222,100,81.0895833333333,"B-"
"85",77.5,100,100,100,100,99,92,100,98,12,91.6666666666667,100,90,100,76,85.5,95,95,98.625,97.2222222222222,100,96.9208333333333,"A+"
"86",87.5,85,92.5,80,100,99,0,100,75,12,100,100,60,100,75.2,70.2,94,78,89.875,100,100,90.2625,"A"
